date,temperature,humidity,wind_speed,precipitation
2020-02-28,31.9,75.5,9.8,0
2020-02-29,28.4,57.8,6.8,0
2020-03-01,42.9,58.2,6.5,0
2020-03-02,52.4,83.2,8.3,0
2020-03-03,52.2,83,7.6,0.42
2020-03-04,47,56.8,8.5,0.02
2020-03-05,43.8,57,4.7,0
2020-03-06,39.3,67,11.7,0
2020-03-07,38.6,55,4.8,0.01
2020-03-08,45.7,54.8,5.5,0
2020-03-09,54.1,52.7,11.2,0
2020-03-10,54.5,79.5,11.7,0.27
2020-03-11,47.2,83.2,2.9,0.08
2020-03-12,49.8,87.7,3.8,0
2020-03-13,53,63,9.5,0.32
2020-03-14,38.5,79.6,6,0
2020-03-15,39.3,74.6,8.6,0.29
2020-03-16,43.7,69.2,5.2,0
2020-03-17,45.2,76.3,5.4,0
2020-03-18,48.8,94.7,4.9,0
2020-03-19,59.8,92.9,5.6,0.99
2020-03-20,61.9,76.3,15.1,1.17
2020-03-21,37.2,66.8,10,0.09
2020-03-22,38.2,72.3,6.9,0
2020-03-23,46.2,79.4,3.6,0.04
2020-03-24,43.9,82.3,5,0
2020-03-25,50,72.3,3.5,0.12
2020-03-26,52.6,82.8,4.2,0
2020-03-27,60.3,84.8,6.1,0.06
2020-03-28,63.1,87.6,5.2,0.11
2020-03-29,65.1,63.1,15.6,0.45
2020-03-30,53.8,48.4,13.7,0
2020-03-31,44.7,71.5,6.5,0
2020-04-01,46.1,74.5,7.6,0
2020-04-02,44.4,78.6,1.2,0
2020-04-03,49.2,72.1,1,0
2020-04-04,55.7,70.6,2.8,0
2020-04-05,54.1,80,6.7,0.02
2020-04-06,55.4,76.8,3.6,0.05
2020-04-07,60.6,80.4,5.7,0
2020-04-08,70.7,62.7,10.3,0
2020-04-09,53.8,56.3,10.7,0.57
