ID Year,Household Income by Race Moe,Forecast(Household Income by Race Moe),Lower Confidence Bound(Household Income by Race Moe),Upper Confidence Bound(Household Income by Race Moe)
2013,964,,,
2014,939.6,,,
2015,977,,,
2016,1306.6,,,
2017,1030,,,
2018,1232.4,1232.4,1232.40,1232.40
2019,,1313.843371,1095.56,1532.12
2020,,1372.124893,1153.84,1590.41
